"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","75","80","6","41.132030","6","80"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","72","78","1","92.492378","0","78"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","993","1016","1","0.000000","0","1016"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","9","9","1","0.000000","0","9"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","40","40","1","0.000000","0","40"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","45","45","1","35.763378","0","45"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","92","92","1","0.000000","0","92"
"/Game/Mesh/AirPodsMesh/lifght_green.lifght_green","49","13","13","1","14.908018","0","13"
"/Game/Mesh/AirPodsMesh/gold.gold","49","13","13","1","14.792850","0","13"
"/Game/Mesh/AirPodsMesh/text.text","49","13","13","1","14.626345","0","13"
"/Game/Mesh/AirPodsMesh/Material_006.Material_006","49","13","13","1","15.786057","0","13"
"/Game/Mesh/AirPodsMesh/Material_005.Material_005","49","13","13","1","16.944002","0","13"
"/Game/Mesh/AirPodsMesh/Material_003.Material_003","49","13","13","1","0.000000","0","13"
"/Game/Mesh/AirPodsMesh/Material_010.Material_010","49","13","13","1","0.000000","0","13"
"/Game/Mesh/AirPodsMesh/Material_002.Material_002","49","13","13","1","0.000000","0","13"
"/Game/Mesh/AirPodsMesh/metal.metal","49","13","13","1","0.000000","0","13"
"/Game/Mesh/AirPodsMesh/Material_001.Material_001","49","13","13","1","0.000000","0","13"
"/Game/Mesh/AirPodsMesh/Material_004.Material_004","49","13","13","1","0.000000","0","13"
"/Game/Mesh/AirPodsMesh/hole.hole","49","13","13","1","0.000000","0","13"
"/Game/Mesh/NewLid/Material_002.Material_002","49","13","13","1","0.000000","0","13"
"/Game/Mesh/NewLid/Material_001.Material_001","49","13","13","1","0.000000","0","13"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","202","212","6","499.990417","0","212"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","156","166","6","221.702652","0","166"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","164","182","6","234.166962","0","182"
"/InterchangeAssets/gltf/M_Default.M_Default","49","164","182","6","266.537292","0","182"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","67","67","1","44.618076","0","67"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","21","23","1","29.098467","0","23"
"/HDRIBackdrop/Materials/HDRI_Projection_Sky.HDRI_Projection_Sky","49","14","14","2","9.333229","0","14"
"/HDRIBackdrop/Materials/HDRI_Projection_Floor.HDRI_Projection_Floor","49","16","16","2","7.709791","0","16"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","7","7","1","6.518331","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","7","7","1","6.413531","0","7"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","18","18","1","29.720633","0","18"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","49","15","15","1","10.544280","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","49","27","29","1","26.008066","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","49","27","29","1","28.280626","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","49","15","15","1","11.977687","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","49","15","15","1","11.813092","0","15"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","42","46","1","68.289139","0","46"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","42","46","1","72.259613","0","46"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","156","166","6","229.288254","0","166"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","54","54","2","198.789673","0","54"
